"","Job","University","Freq"
"1","4A Games","",0.015625
"2","Agralp","",0
"3","Akvelon","",0
"4","Alpha Bank","",0
"5","Appko","",0
"6","Ciklum","",0
"7","Cogniance","",0
"8","EPAM","",0
"9","Freelancer","",0
"10","GlobalLogic","",0
"11","Indigo","",0
"12","Iteazer","",0
"13","Lesoft","",0
"14","LLC","",0
"15","Lohika","",0
"16","Luxoft","",0
"17","Microsoft","",0
"18","Mirantis","",0
"19","MMCIS","",0
"20","NAS","",0
"21","NBU","",0
"22","NefteGaz","",0
"23","Oracle","",0
"24","Playtech","",0
"25","PRISM","",0
"26","Privat Bank","",0
"27","ProCredit Bank","",0
"28","Rvuzov","",0
"29","Samsung","",0
"30","SoftServe","",0
"31","Some","",0
"32","Taltek","",0
"33","Tartu","",0
"34","Terrasoft","",0
"35","Theorem","",0
"36","TNS","",0
"37","Ubisoft","",0
"38","Viasoft Ltd","",0
"39","Vlasov","",0
"40","WinInteractive","",0
"41","4A Games"," ",0
"42","Agralp"," ",0
"43","Akvelon"," ",0
"44","Alpha Bank"," ",0
"45","Appko"," ",0
"46","Ciklum"," ",0
"47","Cogniance"," ",0
"48","EPAM"," ",0
"49","Freelancer"," ",0
"50","GlobalLogic"," ",0
"51","Indigo"," ",0
"52","Iteazer"," ",0
"53","Lesoft"," ",0
"54","LLC"," ",0
"55","Lohika"," ",0
"56","Luxoft"," ",0
"57","Microsoft"," ",0
"58","Mirantis"," ",0.015625
"59","MMCIS"," ",0
"60","NAS"," ",0
"61","NBU"," ",0
"62","NefteGaz"," ",0
"63","Oracle"," ",0
"64","Playtech"," ",0
"65","PRISM"," ",0
"66","Privat Bank"," ",0
"67","ProCredit Bank"," ",0
"68","Rvuzov"," ",0
"69","Samsung"," ",0
"70","SoftServe"," ",0
"71","Some"," ",0
"72","Taltek"," ",0
"73","Tartu"," ",0
"74","Terrasoft"," ",0
"75","Theorem"," ",0
"76","TNS"," ",0
"77","Ubisoft"," ",0
"78","Viasoft Ltd"," ",0
"79","Vlasov"," ",0
"80","WinInteractive"," ",0
"81","4A Games"," College of Information Systems and Technologies",0
"82","Agralp"," College of Information Systems and Technologies",0
"83","Akvelon"," College of Information Systems and Technologies",0
"84","Alpha Bank"," College of Information Systems and Technologies",0
"85","Appko"," College of Information Systems and Technologies",0.015625
"86","Ciklum"," College of Information Systems and Technologies",0
"87","Cogniance"," College of Information Systems and Technologies",0
"88","EPAM"," College of Information Systems and Technologies",0
"89","Freelancer"," College of Information Systems and Technologies",0
"90","GlobalLogic"," College of Information Systems and Technologies",0
"91","Indigo"," College of Information Systems and Technologies",0
"92","Iteazer"," College of Information Systems and Technologies",0
"93","Lesoft"," College of Information Systems and Technologies",0
"94","LLC"," College of Information Systems and Technologies",0
"95","Lohika"," College of Information Systems and Technologies",0
"96","Luxoft"," College of Information Systems and Technologies",0
"97","Microsoft"," College of Information Systems and Technologies",0
"98","Mirantis"," College of Information Systems and Technologies",0
"99","MMCIS"," College of Information Systems and Technologies",0
"100","NAS"," College of Information Systems and Technologies",0
"101","NBU"," College of Information Systems and Technologies",0
"102","NefteGaz"," College of Information Systems and Technologies",0
"103","Oracle"," College of Information Systems and Technologies",0
"104","Playtech"," College of Information Systems and Technologies",0
"105","PRISM"," College of Information Systems and Technologies",0
"106","Privat Bank"," College of Information Systems and Technologies",0
"107","ProCredit Bank"," College of Information Systems and Technologies",0
"108","Rvuzov"," College of Information Systems and Technologies",0
"109","Samsung"," College of Information Systems and Technologies",0
"110","SoftServe"," College of Information Systems and Technologies",0
"111","Some"," College of Information Systems and Technologies",0
"112","Taltek"," College of Information Systems and Technologies",0
"113","Tartu"," College of Information Systems and Technologies",0
"114","Terrasoft"," College of Information Systems and Technologies",0
"115","Theorem"," College of Information Systems and Technologies",0
"116","TNS"," College of Information Systems and Technologies",0
"117","Ubisoft"," College of Information Systems and Technologies",0
"118","Viasoft Ltd"," College of Information Systems and Technologies",0
"119","Vlasov"," College of Information Systems and Technologies",0
"120","WinInteractive"," College of Information Systems and Technologies",0
"121","4A Games"," Dnipropetrovsk State University",0
"122","Agralp"," Dnipropetrovsk State University",0
"123","Akvelon"," Dnipropetrovsk State University",0
"124","Alpha Bank"," Dnipropetrovsk State University",0
"125","Appko"," Dnipropetrovsk State University",0
"126","Ciklum"," Dnipropetrovsk State University",0.015625
"127","Cogniance"," Dnipropetrovsk State University",0
"128","EPAM"," Dnipropetrovsk State University",0
"129","Freelancer"," Dnipropetrovsk State University",0
"130","GlobalLogic"," Dnipropetrovsk State University",0.015625
"131","Indigo"," Dnipropetrovsk State University",0
"132","Iteazer"," Dnipropetrovsk State University",0
"133","Lesoft"," Dnipropetrovsk State University",0
"134","LLC"," Dnipropetrovsk State University",0
"135","Lohika"," Dnipropetrovsk State University",0
"136","Luxoft"," Dnipropetrovsk State University",0
"137","Microsoft"," Dnipropetrovsk State University",0
"138","Mirantis"," Dnipropetrovsk State University",0
"139","MMCIS"," Dnipropetrovsk State University",0
"140","NAS"," Dnipropetrovsk State University",0
"141","NBU"," Dnipropetrovsk State University",0
"142","NefteGaz"," Dnipropetrovsk State University",0
"143","Oracle"," Dnipropetrovsk State University",0
"144","Playtech"," Dnipropetrovsk State University",0
"145","PRISM"," Dnipropetrovsk State University",0
"146","Privat Bank"," Dnipropetrovsk State University",0
"147","ProCredit Bank"," Dnipropetrovsk State University",0
"148","Rvuzov"," Dnipropetrovsk State University",0
"149","Samsung"," Dnipropetrovsk State University",0
"150","SoftServe"," Dnipropetrovsk State University",0
"151","Some"," Dnipropetrovsk State University",0
"152","Taltek"," Dnipropetrovsk State University",0
"153","Tartu"," Dnipropetrovsk State University",0
"154","Terrasoft"," Dnipropetrovsk State University",0
"155","Theorem"," Dnipropetrovsk State University",0
"156","TNS"," Dnipropetrovsk State University",0
"157","Ubisoft"," Dnipropetrovsk State University",0
"158","Viasoft Ltd"," Dnipropetrovsk State University",0
"159","Vlasov"," Dnipropetrovsk State University",0
"160","WinInteractive"," Dnipropetrovsk State University",0
"161","4A Games"," Dnipropetrovsk Techical University",0
"162","Agralp"," Dnipropetrovsk Techical University",0
"163","Akvelon"," Dnipropetrovsk Techical University",0
"164","Alpha Bank"," Dnipropetrovsk Techical University",0
"165","Appko"," Dnipropetrovsk Techical University",0
"166","Ciklum"," Dnipropetrovsk Techical University",0
"167","Cogniance"," Dnipropetrovsk Techical University",0
"168","EPAM"," Dnipropetrovsk Techical University",0
"169","Freelancer"," Dnipropetrovsk Techical University",0
"170","GlobalLogic"," Dnipropetrovsk Techical University",0
"171","Indigo"," Dnipropetrovsk Techical University",0
"172","Iteazer"," Dnipropetrovsk Techical University",0
"173","Lesoft"," Dnipropetrovsk Techical University",0
"174","LLC"," Dnipropetrovsk Techical University",0
"175","Lohika"," Dnipropetrovsk Techical University",0
"176","Luxoft"," Dnipropetrovsk Techical University",0.015625
"177","Microsoft"," Dnipropetrovsk Techical University",0
"178","Mirantis"," Dnipropetrovsk Techical University",0
"179","MMCIS"," Dnipropetrovsk Techical University",0
"180","NAS"," Dnipropetrovsk Techical University",0
"181","NBU"," Dnipropetrovsk Techical University",0
"182","NefteGaz"," Dnipropetrovsk Techical University",0
"183","Oracle"," Dnipropetrovsk Techical University",0
"184","Playtech"," Dnipropetrovsk Techical University",0
"185","PRISM"," Dnipropetrovsk Techical University",0
"186","Privat Bank"," Dnipropetrovsk Techical University",0
"187","ProCredit Bank"," Dnipropetrovsk Techical University",0
"188","Rvuzov"," Dnipropetrovsk Techical University",0
"189","Samsung"," Dnipropetrovsk Techical University",0
"190","SoftServe"," Dnipropetrovsk Techical University",0
"191","Some"," Dnipropetrovsk Techical University",0
"192","Taltek"," Dnipropetrovsk Techical University",0
"193","Tartu"," Dnipropetrovsk Techical University",0
"194","Terrasoft"," Dnipropetrovsk Techical University",0
"195","Theorem"," Dnipropetrovsk Techical University",0
"196","TNS"," Dnipropetrovsk Techical University",0
"197","Ubisoft"," Dnipropetrovsk Techical University",0
"198","Viasoft Ltd"," Dnipropetrovsk Techical University",0
"199","Vlasov"," Dnipropetrovsk Techical University",0
"200","WinInteractive"," Dnipropetrovsk Techical University",0
"201","4A Games"," DNU CS",0
"202","Agralp"," DNU CS",0
"203","Akvelon"," DNU CS",0
"204","Alpha Bank"," DNU CS",0
"205","Appko"," DNU CS",0
"206","Ciklum"," DNU CS",0
"207","Cogniance"," DNU CS",0.015625
"208","EPAM"," DNU CS",0
"209","Freelancer"," DNU CS",0
"210","GlobalLogic"," DNU CS",0
"211","Indigo"," DNU CS",0
"212","Iteazer"," DNU CS",0
"213","Lesoft"," DNU CS",0
"214","LLC"," DNU CS",0
"215","Lohika"," DNU CS",0
"216","Luxoft"," DNU CS",0
"217","Microsoft"," DNU CS",0
"218","Mirantis"," DNU CS",0
"219","MMCIS"," DNU CS",0
"220","NAS"," DNU CS",0
"221","NBU"," DNU CS",0
"222","NefteGaz"," DNU CS",0
"223","Oracle"," DNU CS",0
"224","Playtech"," DNU CS",0
"225","PRISM"," DNU CS",0
"226","Privat Bank"," DNU CS",0
"227","ProCredit Bank"," DNU CS",0
"228","Rvuzov"," DNU CS",0
"229","Samsung"," DNU CS",0
"230","SoftServe"," DNU CS",0
"231","Some"," DNU CS",0
"232","Taltek"," DNU CS",0
"233","Tartu"," DNU CS",0
"234","Terrasoft"," DNU CS",0
"235","Theorem"," DNU CS",0
"236","TNS"," DNU CS",0
"237","Ubisoft"," DNU CS",0
"238","Viasoft Ltd"," DNU CS",0
"239","Vlasov"," DNU CS",0
"240","WinInteractive"," DNU CS",0
"241","4A Games"," Donetsk University",0
"242","Agralp"," Donetsk University",0
"243","Akvelon"," Donetsk University",0
"244","Alpha Bank"," Donetsk University",0
"245","Appko"," Donetsk University",0
"246","Ciklum"," Donetsk University",0
"247","Cogniance"," Donetsk University",0
"248","EPAM"," Donetsk University",0
"249","Freelancer"," Donetsk University",0
"250","GlobalLogic"," Donetsk University",0
"251","Indigo"," Donetsk University",0
"252","Iteazer"," Donetsk University",0
"253","Lesoft"," Donetsk University",0
"254","LLC"," Donetsk University",0
"255","Lohika"," Donetsk University",0
"256","Luxoft"," Donetsk University",0
"257","Microsoft"," Donetsk University",0
"258","Mirantis"," Donetsk University",0
"259","MMCIS"," Donetsk University",0.015625
"260","NAS"," Donetsk University",0
"261","NBU"," Donetsk University",0
"262","NefteGaz"," Donetsk University",0
"263","Oracle"," Donetsk University",0
"264","Playtech"," Donetsk University",0
"265","PRISM"," Donetsk University",0
"266","Privat Bank"," Donetsk University",0
"267","ProCredit Bank"," Donetsk University",0
"268","Rvuzov"," Donetsk University",0
"269","Samsung"," Donetsk University",0
"270","SoftServe"," Donetsk University",0
"271","Some"," Donetsk University",0
"272","Taltek"," Donetsk University",0
"273","Tartu"," Donetsk University",0
"274","Terrasoft"," Donetsk University",0
"275","Theorem"," Donetsk University",0
"276","TNS"," Donetsk University",0
"277","Ubisoft"," Donetsk University",0.015625
"278","Viasoft Ltd"," Donetsk University",0
"279","Vlasov"," Donetsk University",0
"280","WinInteractive"," Donetsk University",0
"281","4A Games"," Dripropetrovsk State University",0
"282","Agralp"," Dripropetrovsk State University",0
"283","Akvelon"," Dripropetrovsk State University",0
"284","Alpha Bank"," Dripropetrovsk State University",0
"285","Appko"," Dripropetrovsk State University",0
"286","Ciklum"," Dripropetrovsk State University",0
"287","Cogniance"," Dripropetrovsk State University",0
"288","EPAM"," Dripropetrovsk State University",0
"289","Freelancer"," Dripropetrovsk State University",0
"290","GlobalLogic"," Dripropetrovsk State University",0
"291","Indigo"," Dripropetrovsk State University",0
"292","Iteazer"," Dripropetrovsk State University",0
"293","Lesoft"," Dripropetrovsk State University",0
"294","LLC"," Dripropetrovsk State University",0
"295","Lohika"," Dripropetrovsk State University",0
"296","Luxoft"," Dripropetrovsk State University",0
"297","Microsoft"," Dripropetrovsk State University",0
"298","Mirantis"," Dripropetrovsk State University",0
"299","MMCIS"," Dripropetrovsk State University",0
"300","NAS"," Dripropetrovsk State University",0
"301","NBU"," Dripropetrovsk State University",0
"302","NefteGaz"," Dripropetrovsk State University",0
"303","Oracle"," Dripropetrovsk State University",0
"304","Playtech"," Dripropetrovsk State University",0
